name	code
Admin	ADM
INI	INI
PD	PD
SICK	SICK
STAT	STAT
TOL	TOL
TOWOP	TOWOP
TOWP	TOWP
VAC	VAC
VAC	_VAC
New Cables in the Office	INI24209
Cayman Islands Landfill Fire Training	LFCIPRJ19004
Edson Directions for Landfill Operations	LFCIPRJ20001
Cayman Islands Landfill Fire Response Training	LFCIPRJ20002
Nanaimo Fire Plan	LFCIPRJ20003
DTG Landfill Fire Consulting	LFCIPRJ23001
Australia Barro Landfill Fire	LFCIPRJ23002
688147 Gracia Landfill Soil Deposition Permit	PRJ18063
Cobble Hill Landfill - Closure Plan Update & Implemetation	PRJ18074
Skway Landfill Contaminated Soil	PRJ18075
Pattison Group Closure Plan Update	PRJ18076
Bahamas NPEP Support	PRJ19010
7 Mile Annual Report and GHG Scan 2018	PRJ19011
Hope Monitoring 2019	PRJ19012
Islands Landfill LFG Flare Installation and 2019 GHG Quantification	PRJ19013
Islands Landill 2018 Annual Report	PRJ19014
City of Whitehorse Landfill Operating Contract Developement	PRJ19015
KRRC Soil Fill Plan (Talk to Kamloops Office Before Working on this)	PRJ19016
Vancouver Landfill Consulting for Phase 4 Closure	PRJ19017
Skway Landfill Information for Milestone - Constance Cove	PRJ19049
Everett Crowley Park Methane Emission Investigation	PRJ19050
RDEK Landfills Volumetrics 2019	PRJ19051
Kamloops Landfills Quarterly Aerial Surveys	PRJ19052
City of Terrace Landfill Closure Implementation	PRJ19053
Mission Flats Landfill - LFG Support	PRJ19054
Kamloops Landfills - On Call Support	PRJ19055
Skway Landfill Information  for Centerm Project	PRJ19056
DSS Monitoring 2019	PRJ19057
City of Nelson WWTP Digester Gas Analysis	PRJ19058
Ashcroft Treating Monitoring 2019	PRJ19059
Columbia Valley DOCP	PRJ19060
Hartland Landfill LFG Generation for Different Div. Scenarios	PRJ19061
Hope Landfill Permit Application	PRJ19062
KRRC Construction Services	PRJ19063
Heffley Creek 2019 Volumteric Annual Report	PRJ19064
Lower Nicola 2019 Volumetric Annual Report	PRJ19065
Haines Junction Costing	PRJ19066
SWANA LOB Williams Lake	PRJ19067
MFL LFG Maintenance	PRJ19068
Prince Rupert Landfill Ongoing Operational Support	PRJ19069
Creston Landfill - Budget Planning	PRJ19070
Skway Landfill Constance Cove Material Filling QAQC	PRJ19071
Summerland Sanitary Landfill Annual Report (5-Yr)	PRJ19072
Mission Flats Landfill Fill Plan 2019	PRJ19073
RDKS Forceman Monitoring 2018	PRJ19074
Solaris FortisBC Woodfibre Landfill Engineering Support	PRJ19075
Atlantic Power Annual Report 2020	PRJ20001
Lillooet Landfill Annual Report 2019	PRJ20002
Prince Rupert Lagoon Capital Works	PRJ20003
PRRD Landfills Annual Reporting (3-Yr)	PRJ20004
Cheam Landfill Volumetrics	PRJ20005
Chetwynd Landfill Ph.B Closure Re-Design and Re-Tender	PRJ20006
Hartland Landfill GHG Emission Quantification	PRJ20007
Port Metro SNC Support 2020	PRJ20008
RDKS Forceman Monitoring 2019	PRJ20009
Hazelton WMF 2019 Annual Monitoring Report	PRJ20010
Alberni Clayoquot Regional District DOCPs	PRJ20011
Lower Nicola Landfill 2019 GHG Offset Credit Quantification	PRJ20012
Heffley Creek Landfill 2019 GHG Offset Credit Quantification	PRJ20013
Squamish Landfill Flare & Collection Network	PRJ20014
Inter River Monitoring 2020	PRJ20015
Inter River Park Monitoring 2020	PRJ20015
Third Street Landfill Monitoring 2020	PRJ20016
Meadowland Monitoring 2020	PRJ20017
Hope Monitoring 2020	PRJ20018
Atlantic Power Storm Water Management	PRJ20019
Atlantic Power Storm Water Management Plan	PRJ20019
United Concrete Recycled Glass Management	PRJ20020
Squamish Airspace Capacity	PRJ20021
7 Mile Landfill 2019 Annual Report	PRJ20022
Turks and Caicos Landfill Operations Proposal	PRJ20023
Eleuthera Solid Waste Management Plan	PRJ20024
Vancouver Landfill Consulting Services	PRJ20025
Squamish February 2020 Survey	PRJ20026
Thornhill LFG Flare 2019 GHG Quantification	PRJ20027
Salmon Arm Landfill Phase 3 Expansion QA/QC	PRJ20028
Atlantic Power Landfill Closure Plan Phase 1	PRJ20029
COVID-19 Impact	PRJ20030
Gibraltar Landfill 2020 Engineering Hourly	PRJ20031
7 Mile Landfill Conformance Review	PRJ20032
DSS Monitoring 2020	PRJ20033
Islands Landfill 2019 Monitoring Report	PRJ20034
Domtar Kamloops Mill Flood Prevention Dike Design	PRJ20035
Alberni Valley Ops. Contract Review	PRJ20036
Squamish landfill DOCP LFG Amendment	PRJ20037
Quesnel Landfill Contaminating Lifespan Analysis	PRJ20038
Campbell Mountain Landfill - Leachate Management	PRJ20039
RDNO Leacate Storage Pond Preliminary Design	PRJ20040
Squamish Q1 Monitoring	PRJ20041
MFL LFG System Expansion and Construction Services	PRJ20042
City of Prince Rupert Annual Leachate Analysis and Report	PRJ20043
Quesnel Landfill LFG Probe Design and Install	PRJ20044
Nanaimo Landfill Groundwater Inflow Project	PRJ20045
Canlava Landfill Permitting	PRJ20046
MFL Engineered Berm Detailed Design	PRJ20047
Nanaimo Landfill Pump Station Upgrades	PRJ20048
Nanaimo Landfill Leachate Flushing Safety Plan	PRJ20049
RDEK Monitoring 2020-2024	PRJ20050
Abaco Site Clean Up with Caribbean Green	PRJ20051
Cowichan Valley Waste Audit with KWL	PRJ20052
Oliver Composting Plan	PRJ20053
Abaco Hurricane Dorian Clean Up Proposal for Greg Stuart	PRJ20054
Forceman Landfill Operations Contract for Tender	PRJ20054
Prince Rupert Landfill Advanced LFG Generation Assessment	PRJ20055
Howe Sound Pulp and Paper 2020 Landfill Engineering	PRJ20056
Cheam Operations Plan	PRJ20057
